date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2016-12-20 12:00:00,1,1.0,1.0,-9.079353550027238e-05,-9.079353550027238e-05,0.05200641429802418,training,9.079353550027238e-05,False
2016-12-21 12:00:00,1,1.0,1.0,-0.0036327309054581783,-0.0036327309054581783,0.048373683392566,training,0.0036327309054581783,False
2016-12-22 12:00:00,1,1.0,1.0,0.0012770227127611056,0.0012770227127611056,0.049650706105327104,training,0.0012770227127611056,True
2016-12-23 12:00:00,-1,-1.0,-1.0,-0.0033700701338919754,0.0033700701338919754,0.05302077623921908,training,0.0033700701338919754,True
2016-12-27 12:00:00,1,1.0,1.0,-0.006172839506172839,-0.006172839506172839,0.04684793673304624,training,0.006172839506172839,False
2016-12-28 12:00:00,-1,-1.0,-1.0,0.00455622380171314,-0.00455622380171314,0.0422917129313331,training,0.00455622380171314,False
2016-12-29 12:00:00,1,1.0,1.0,-0.0021969974368363236,-0.0021969974368363236,0.04009471549449678,training,0.0021969974368363236,False
2016-12-30 12:00:00,1,1.0,1.0,0.0007328020518457452,0.0007328020518457452,0.04082751754634253,training,0.0007328020518457452,True
2017-01-03 12:00:00,-1,-1.0,-1.0,-0.006952703320830665,0.006952703320830665,0.04778022086717319,training,0.006952703320830665,True
2017-01-04 12:00:00,-1,-1.0,-1.0,0.0019075302025615406,-0.0019075302025615406,0.04587269066461165,training,0.0019075302025615406,False
2017-01-05 12:00:00,1,1.0,1.0,0.007287301876480233,0.007287301876480233,0.05315999254109188,training,0.007287301876480233,True
2017-01-06 12:00:00,1,1.0,1.0,-0.0012676566461427019,-0.0012676566461427019,0.05189233589494918,training,0.0012676566461427019,False
2017-01-09 12:00:00,1,1.0,1.0,0.001269726101940867,0.001269726101940867,0.053162061996890046,training,0.001269726101940867,True
2017-01-10 12:00:00,-1,-1.0,-1.0,0.0033517528761663196,-0.0033517528761663196,0.04981030912072373,training,0.0033517528761663196,False
2017-01-11 12:00:00,1,1.0,1.0,-0.002722570106180234,-0.002722570106180234,0.047087739014543495,training,0.002722570106180234,False
2017-01-12 12:00:00,-1,-1.0,-1.0,-0.006567545379914257,0.006567545379914257,0.053655284394457756,training,0.006567545379914257,True
2017-01-13 12:00:00,-1,-1.0,-1.0,0.0021735192899836986,-0.0021735192899836986,0.05148176510447406,training,0.0021735192899836986,False
2017-01-16 12:00:00,-1,-1.0,-1.0,0.0017238250771184902,-0.0017238250771184902,0.04975794002735557,training,0.0017238250771184902,False
2017-01-17 12:00:00,-1,-1.0,-1.0,0.0012709940989559692,-0.0012709940989559692,0.048486945928399604,training,0.0012709940989559692,False
2017-01-18 12:00:00,1,1.0,1.0,0.0002727024815925825,0.0002727024815925825,0.04875964840999219,training,0.0002727024815925825,True
2017-01-19 12:00:00,-1,-1.0,-1.0,0.00027252906976744186,-0.00027252906976744186,0.048487119340224746,training,0.00027252906976744186,False
2017-01-20 12:00:00,-1,-1.0,-1.0,0.004623334239869459,-0.004623334239869459,0.04386378510035529,training,0.004623334239869459,False
2017-01-23 12:00:00,1,1.0,1.0,0.0063804575699571596,0.0063804575699571596,0.050244242670312446,training,0.0063804575699571596,True
2017-01-24 12:00:00,1,1.0,1.0,0.008070366340224882,0.008070366340224882,0.058314609010537324,training,0.008070366340224882,True
2017-01-25 12:00:00,1,1.0,1.0,0.0009899208063354932,0.0009899208063354932,0.059304529816872814,training,0.0009899208063354932,True
2017-01-26 12:00:00,-1,-1.0,-1.0,0.0010787486515641855,-0.0010787486515641855,0.05822578116530863,training,0.0010787486515641855,False
2017-01-27 12:00:00,-1,-1.0,-1.0,0.007827260458839407,-0.007827260458839407,0.050398520706469226,training,0.007827260458839407,False
2017-01-30 12:00:00,1,1.0,1.0,-0.0010873504893077202,-0.0010873504893077202,0.049311170217161505,training,0.0010873504893077202,False
2017-01-31 12:00:00,1,1.0,1.0,0.003178928247048138,0.003178928247048138,0.05249009846420964,training,0.003178928247048138,True
2017-02-01 12:00:00,-1,-1.0,-1.0,-0.001630730204747237,0.001630730204747237,0.05412082866895688,training,0.001630730204747237,True
2017-02-02 12:00:00,1,1.0,1.0,0.007701368125396394,0.007701368125396394,0.061822196794353274,training,0.007701368125396394,True
2017-02-03 12:00:00,-1,-1.0,-1.0,0.0017990465053521634,-0.0017990465053521634,0.06002315028900111,training,0.0017990465053521634,False
2017-02-06 12:00:00,-1,-1.0,-1.0,0.0007202664986044837,-0.0007202664986044837,0.05930288379039663,training,0.0007202664986044837,False
2017-02-07 12:00:00,1,1.0,1.0,-0.0012593325537465143,-0.0012593325537465143,0.058043551236650115,training,0.0012593325537465143,False
2017-02-08 12:00:00,1,1.0,1.0,0.006035492297991172,0.006035492297991172,0.06407904353464129,training,0.006035492297991172,True
2017-02-09 12:00:00,-1,-1.0,-1.0,-0.0028643036161833156,0.0028643036161833156,0.0669433471508246,training,0.0028643036161833156,True
2017-02-10 12:00:00,1,1.0,1.0,0.005269739192568774,0.005269739192568774,0.07221308634339338,training,0.005269739192568774,True
2017-02-13 12:00:00,-1,-1.0,-1.0,-0.0028464685998932575,0.0028464685998932575,0.07505955494328663,training,0.0028464685998932575,True
2017-02-14 12:00:00,-1,-1.0,-1.0,-0.005329543435779001,0.005329543435779001,0.08038909837906563,training,0.005329543435779001,True
2017-02-15 12:00:00,-1,-1.0,-1.0,-0.0015915119363395225,0.0015915119363395225,0.08198061031540516,training,0.0015915119363395225,True
2017-02-16 12:00:00,1,1.0,1.0,-0.0005296610169491525,-0.0005296610169491525,0.081450949298456,training,0.0005296610169491525,False
2017-02-17 12:00:00,1,1.0,1.0,0.004330151997172146,0.004330151997172146,0.08578110129562815,training,0.004330151997172146,True
2017-02-20 12:00:00,1,1.0,1.0,0.002375087966220971,0.002375087966220971,0.08815618926184912,training,0.002375087966220971,True
2017-02-21 12:00:00,-1,-1.0,-1.0,-0.0007901668129938542,0.0007901668129938542,0.08894635607484297,training,0.0007901668129938542,True
2017-02-22 12:00:00,-1,-1.0,-1.0,-0.0008780402142418123,0.0008780402142418123,0.08982439628908478,training,0.0008780402142418123,True
2017-02-23 12:00:00,1,1.0,1.0,0.00026350461133069827,0.00026350461133069827,0.09008790090041548,training,0.00026350461133069827,True
2017-02-24 12:00:00,1,1.0,1.0,0.003164278808121649,0.003164278808121649,0.09325217970853712,training,0.003164278808121649,True
2017-02-27 12:00:00,1,1.0,1.0,-0.0011391517700665966,-0.0011391517700665966,0.09211302793847052,training,0.0011391517700665966,False
2017-02-28 12:00:00,-1,-1.0,-1.0,-0.009635599159074982,0.009635599159074982,0.10174862709754551,training,0.009635599159074982,True
2017-03-01 12:00:00,1,1.0,1.0,-0.0025160506680548325,-0.0025160506680548325,0.09923257642949068,training,0.0025160506680548325,False
2017-03-02 12:00:00,-1,-1.0,-1.0,0.0026954177897574125,-0.0026954177897574125,0.09653715863973326,training,0.0026954177897574125,False
2017-03-03 12:00:00,-1,-1.0,-1.0,0.001831661578717837,-0.001831661578717837,0.09470549706101543,training,0.001831661578717837,False
2017-03-06 12:00:00,-1,-1.0,-1.0,-0.0005249803132382536,0.0005249803132382536,0.09523047737425368,training,0.0005249803132382536,True
2017-03-07 12:00:00,1,1.0,1.0,-0.0002624212736179146,-0.0002624212736179146,0.09496805610063576,training,0.0002624212736179146,False
2017-03-08 12:00:00,1,1.0,1.0,-0.0007003414164405147,-0.0007003414164405147,0.09426771468419524,training,0.0007003414164405147,False
2017-03-09 12:00:00,1,1.0,1.0,0.0002627660506262591,0.0002627660506262591,0.09453048073482151,training,0.0002627660506262591,True
2017-03-10 12:00:00,1,1.0,1.0,0.0005247966413014956,0.0005247966413014956,0.095055277376123,training,0.0005247966413014956,True
2017-03-13 12:00:00,-1,-1.0,-1.0,0.0038451455038014505,-0.0038451455038014505,0.09121013187232155,training,0.0038451455038014505,False
2017-03-14 12:00:00,1,1.0,1.0,0.0037663133923097137,0.0037663133923097137,0.09497644526463127,training,0.0037663133923097137,True
2017-03-15 12:00:00,-1,-1.0,-1.0,-0.0031446540880503146,0.0031446540880503146,0.09812109935268158,training,0.0031446540880503146,True
2017-03-16 12:00:00,1,1.0,1.0,8.714596949891067e-05,8.714596949891067e-05,0.09820824532218049,training,8.714596949891067e-05,True
2017-03-17 12:00:00,1,1.0,1.0,-0.001220149904131079,-0.001220149904131079,0.09698809541804941,training,0.001220149904131079,False
2017-03-20 12:00:00,-1,-1.0,-1.0,0.008898194190002618,-0.008898194190002618,0.08808990122804679,training,0.008898194190002618,False
2017-03-21 12:00:00,1,1.0,1.0,-0.0043057996485061515,-0.0043057996485061515,0.08378410157954064,training,0.0043057996485061515,False
2017-03-22 12:00:00,1,1.0,1.0,0.003613608320112815,0.003613608320112815,0.08739770989965345,training,0.003613608320112815,True
2017-03-23 12:00:00,1,1.0,1.0,-0.0020212672466824854,-0.0020212672466824854,0.08537644265297097,training,0.0020212672466824854,False
2017-03-24 12:00:00,-1,-1.0,-1.0,0.004574243490499648,-0.004574243490499648,0.08080219916247132,training,0.004574243490499648,False
2017-03-27 12:00:00,-1,-1.0,-1.0,-0.005750685658674688,0.005750685658674688,0.08655288482114601,training,0.005750685658674688,True
2017-03-28 12:00:00,1,1.0,1.0,0.001319725497096604,0.001319725497096604,0.08787261031824262,training,0.001319725497096604,True
2017-03-29 12:00:00,-1,-1.0,-1.0,-0.002108036890645586,0.002108036890645586,0.08998064720888821,training,0.002108036890645586,True
2017-03-30 12:00:00,-1,-1.0,-1.0,-0.0006132282084975909,0.0006132282084975909,0.0905938754173858,training,0.0006132282084975909,True
2017-03-31 12:00:00,-1,-1.0,-1.0,0.004729374671571204,-0.004729374671571204,0.08586450074581459,training,0.004729374671571204,False
2017-04-03 12:00:00,-1,-1.0,-1.0,-0.0027329630609186284,0.0027329630609186284,0.08859746380673321,training,0.0027329630609186284,True
2017-04-04 12:00:00,1,1.0,1.0,0.006149521215848195,0.006149521215848195,0.0947469850225814,training,0.006149521215848195,True
2017-04-05 12:00:00,1,1.0,1.0,-0.004982081985840398,-0.004982081985840398,0.089764903036741,training,0.004982081985840398,False
2017-04-06 12:00:00,1,1.0,1.0,-0.00026331958219959624,-0.00026331958219959624,0.08950158345454141,training,0.00026331958219959624,False
2017-04-07 12:00:00,-1,-1.0,-1.0,-0.0013181019332161687,0.0013181019332161687,0.09081968538775759,training,0.0013181019332161687,True
2017-04-10 12:00:00,1,1.0,1.0,-0.0025487783441729655,-0.0025487783441729655,0.08827090704358462,training,0.0025487783441729655,False
2017-04-11 12:00:00,1,1.0,1.0,0.0,0.0,0.08827090704358462,training,0.0,False
2017-04-12 12:00:00,1,1.0,1.0,-0.0014126787921596327,-0.0014126787921596327,0.08685822825142499,training,0.0014126787921596327,False
2017-04-13 12:00:00,1,1.0,1.0,-0.0021167754454048332,-0.0021167754454048332,0.08474145280602015,training,0.0021167754454048332,False
