date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-09-15,@CT#C,-1,-0.0046544186770915985,66.9,-10,334500.0,0.6689999999999999,AGS,-1.001494768310893,-0.006699999999999873
2025-09-15,@ES#C,1,0.0004766179481521249,6676.5,9,3004425.0,6.008850000000001,EQUITY,-0.11233430689732643,-0.00675
2025-09-15,@EU#C,1,-0.00036842277040705085,1.18335,8,1183350.0,2.3667000000000002,FX,0.7859044238813611,0.018600000000000175
2025-09-15,@FV#C,1,0.00018298187933396548,109.8125,36,3953250.0,7.906499999999999,RATESUS,0.06402959590210587,0.0050625
2025-09-15,@JY#C,-1,-0.00025037399609573185,0.006854,-14,1199450.0,2.3989,FX,-0.6127808578932065,-0.014700000000000128
2025-09-15,@KW#C,1,0.0067335800267755985,514.0,0,0.0,0.0,AGS,1.556420233463035,0.0
2025-09-15,@NQ#C,1,0.003048596205189824,24521.75,6,2942610.0,5.88522,EQUITY,0.008156024753535126,0.00047999999999999996
2025-09-15,@RTY#C,-1,-0.0019213530467823148,2426.1,-27,3275235.0,6.55047,EQUITY,0.4740117884670871,0.031049999999999998
2025-09-15,@S#C,1,0.009213821031153202,1043.5,6,313050.0,0.6261,AGS,0.43124101581217056,0.0026999999999999997
2025-09-15,@SM#C,1,0.009005693718791008,285.0,12,342000.0,0.6839999999999999,AGS,0.8070175438596531,0.005520000000000027
2025-09-15,@TY#C,1,0.0005251544644124806,113.46875,35,3971406.25,7.9428125000000005,RATESUS,0.08262186725419994,0.0065625
2025-09-15,@US#C,1,0.0014021622482687235,117.90625,33,3890906.25,7.7818125,RATESUS,0.05300821627352239,0.004124999999999999
2025-09-15,@W#C,-1,-0.0008252499392256141,524.5,-13,340925.0,0.68185,AGS,-1.572926596758818,-0.010725
2025-09-15,BD#C,-1,-0.0005208420334383845,128.76,-30,3862799.9999999995,7.725599999999999,RATESEU,0.0232991612301966,0.0018000000000000683
2025-09-15,BL#C,-1,-8.126721513690427e-05,117.87,-33,3889710.0,7.779419999999999,RATESEU,-0.04241961482989493,-0.003299999999999812
2025-09-15,QBZ#C,1,0.004707289859652519,67.27,17,1143590.0,2.28718,Energy,1.75412516723652,0.04012000000000024
2025-09-15,QCL#C,1,0.0034304442815482616,63.11,18,1135980.0,2.27196,Energy,1.6796070353351327,0.03816000000000008
2025-09-15,QGC#C,1,0.0009332856279797852,3720.4,3,1116120.0,2.23224,METALS,0.17471239651650358,0.0038999999999999994
2025-09-15,QHG#C,-1,-0.0025775288231670856,4.7225,-10,1180625.0,2.36125,METALS,0.6246691371095928,0.014750000000000261
2025-09-15,QNG#C,-1,-0.006998638156801462,2.985,-10,298500.0,0.597,Energy,-3.5175879396984917,-0.020999999999999994
